,First,Last,Nickname,Ht.,Wt.,Reach,Ht. (m),Wt. (kg),Reach. (cm),Stance,DOB,SLpM,Str.Acc.,SApM,Str.Def,TDAvg.,TDAcc.,TDDef.,Sub.Avg.,W,L,D
3259,Robert,Sanchez,Littlefury,"5' 6""",125 lbs.,"66.0""",1.68,56.82,167.64,Orthodox,"Mar05,1986",0.96,40.0,1.78,46.0,3.61,62.0,50.0,0.7,8,2,0
3260,Jesse,Sanders,,"6' 0""",170 lbs.,--,1.83,77.27,,Orthodox,--,0.0,0.0,6.45,35.0,0.0,0.0,50.0,0.0,23,7,0
3261,Luke,Sanders,Cool Hand,"5' 6""",135 lbs.,"67.0""",1.68,61.36,170.18,Southpaw,"Dec12,1985",6.61,52.0,4.37,50.0,0.71,30.0,72.0,0.2,13,5,0
3262,Jerrod,Sanders,J-Reazie,"5' 8""",135 lbs.,"72.0""",1.73,61.36,182.88,Orthodox,"Oct01,1979",0.88,64.0,1.14,46.0,2.2,33.0,50.0,1.6,16,3,0
3263,Cory,Sandhagen,,"5' 11""",135 lbs.,"70.0""",1.8,61.36,177.8,Switch,"Apr20,1992",5.33,44.0,3.4,58.0,1.36,33.0,64.0,0.3,17,4,0
3264,Hugo,Sandoval,,--,135 lbs.,--,,61.36,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0
3265,Raul,Sandoval,,--,130 lbs.,--,,59.09,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0
3266,Joseph,Sandoval,,"5' 7""",135 lbs.,--,1.7,61.36,,Southpaw,"May11,1986",1.82,42.0,12.12,60.0,0.0,0.0,0.0,0.0,7,7,0
3267,Hector,Sandoval,Kid Alex,"5' 2""",125 lbs.,"64.0""",1.57,56.82,162.56,Orthodox,"Jul19,1986",3.31,52.0,2.33,65.0,3.49,25.0,71.0,1.4,14,4,0
3268,Chris,Sanford,,"5' 11""",185 lbs.,--,1.8,84.09,,Orthodox,"Mar12,1968",0.23,50.0,3.22,17.0,0.0,0.0,0.0,3.5,5,1,0
3269,Roldan,Sangcha'an,The Executioner,"5' 4""",125 lbs.,--,1.63,56.82,,Orthodox,"Dec04,1990",2.71,46.0,2.15,51.0,1.94,60.0,68.0,0.0,4,2,0
3270,Yuhi,Sano,,"5' 11""",243 lbs.,--,1.8,110.45,,Orthodox,"Feb02,1965",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
